Executor	spout           allocate into 0	input rate:280.00    	output rate:280.00    	process rate:Infinity  	demand cycles:0.00      
Executor	movingAverageBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	movingAverageBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	movingAverageBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	movingAverageBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	movingAverageBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	movingAverageBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	movingAverageBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	movingAverageBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	spikeDetectorBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	spikeDetectorBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	spikeDetectorBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	spikeDetectorBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	spikeDetectorBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	spikeDetectorBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	spikeDetectorBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	spikeDetectorBolt allocate into 0	input rate:35.00     	output rate:35.00     	process rate:Infinity  	demand cycles:0.00      
Executor	sink            allocate into 0	input rate:280.00    	output rate:280.00    	process rate:Infinity  	demand cycles:0.00      
